rule,rebalance,n,sleeves
WF_GATE_POS,2025-04-01 00:00:00+00:00,10,"XSMOM,D1REV_UK,VOLMGD,RISKPAR,WED_ETH,WED_BTC,D1REV_NAS,D1REV_SPX,WED_SOL,EVE_XAU"
WF_GATE_POS,2025-05-01 00:00:00+00:00,10,"XSMOM,VOLMGD,RISKPAR,WED_BTC,WED_ETH,WED_SOL,D1REV_NAS,D1REV_UK,D1REV_SPX,EVE_XAU"
WF_GATE_POS,2025-06-01 00:00:00+00:00,9,"D1REV_UK,WED_BTC,VOLMGD,XSMOM,RISKPAR,D1REV_NAS,WED_ETH,D1REV_SPX,WED_SOL"
WF_GATE_POS,2025-07-01 00:00:00+00:00,9,"XSMOM,VOLMGD,RISKPAR,WED_BTC,D1REV_NAS,D1REV_UK,D1REV_SPX,WED_ETH,EVE_XAU"
WF_GATE_POS,2025-08-01 00:00:00+00:00,11,"WED_BTC,VOLMGD,WED_ETH,RISKPAR,XSMOM,D1REV_UK,EVE_XAU,D1REV_NAS,WED_SOL,D1REV_SPX,TSMOM"
WF_GATE_POS,2025-09-01 00:00:00+00:00,11,"WED_BTC,WED_ETH,VOLMGD,RISKPAR,XSMOM,D1REV_UK,WED_SOL,D1REV_NAS,EVE_XAU,D1REV_SPX,TSMOM"
WF_GATE_POS,2025-10-01 00:00:00+00:00,11,"WED_BTC,WED_ETH,VOLMGD,RISKPAR,WED_SOL,XSMOM,EVE_XAU,TSMOM,D1REV_NAS,D1REV_UK,D1REV_SPX"
WF_GATE_POS,2025-11-01 00:00:00+00:00,11,"WED_ETH,WED_BTC,VOLMGD,RISKPAR,WED_SOL,EVE_XAU,TSMOM,D1REV_NAS,XSMOM,D1REV_SPX,D1REV_UK"
WF_GATE_POS,2025-12-01 00:00:00+00:00,11,"WED_ETH,EVE_XAU,WED_BTC,VOLMGD,D1REV_NAS,RISKPAR,WED_SOL,XSMOM,D1REV_SPX,TSMOM,D1REV_UK"
WF_GATE_POS,2026-01-01 00:00:00+00:00,10,"WED_ETH,RISKPAR,VOLMGD,EVE_XAU,D1REV_NAS,WED_BTC,XSMOM,WED_SOL,D1REV_SPX,TSMOM"
WF_GATE_POS,2026-02-01 00:00:00+00:00,11,"EVE_XAU,WED_ETH,RISKPAR,D1REV_NAS,VOLMGD,XSMOM,WED_BTC,D1REV_SPX,TSMOM,WED_SOL,D1REV_UK"
WF_GATE_POS,2026-03-01 00:00:00+00:00,11,"RISKPAR,EVE_XAU,VOLMGD,D1REV_NAS,WED_ETH,WED_BTC,XSMOM,TSMOM,D1REV_SPX,WED_SOL,D1REV_UK"
WF_GATE_POS,2026-04-01 00:00:00+00:00,10,"EVE_XAU,RISKPAR,WED_ETH,VOLMGD,D1REV_NAS,WED_BTC,XSMOM,WED_SOL,TSMOM,D1REV_SPX"
WF_GATE_POS,2026-05-01 00:00:00+00:00,10,"EVE_XAU,RISKPAR,VOLMGD,XSMOM,WED_ETH,D1REV_NAS,WED_BTC,TSMOM,WED_SOL,D1REV_SPX"
WF_GATE_HALF,2021-01-01 00:00:00+00:00,10,"RISKPAR,TSMOM,EVE_XAU,WED_BTC,D1REV_UK,VOLMGD,XSMOM,D1REV_NAS,WED_ETH,D1REV_SPX"
WF_GATE_HALF,2021-02-01 00:00:00+00:00,10,"RISKPAR,TSMOM,WED_BTC,EVE_XAU,D1REV_UK,VOLMGD,D1REV_NAS,WED_ETH,D1REV_SPX,XSMOM"
WF_GATE_HALF,2021-03-01 00:00:00+00:00,10,"RISKPAR,TSMOM,WED_BTC,VOLMGD,D1REV_UK,WED_ETH,EVE_XAU,D1REV_NAS,D1REV_SPX,XSMOM"
WF_GATE_HALF,2021-04-01 00:00:00+00:00,10,"RISKPAR,VOLMGD,TSMOM,WED_BTC,WED_ETH,EVE_XAU,D1REV_NAS,D1REV_UK,D1REV_SPX,XSMOM"
WF_GATE_HALF,2021-05-01 00:00:00+00:00,9,"RISKPAR,VOLMGD,TSMOM,EVE_XAU,WED_BTC,WED_ETH,D1REV_UK,D1REV_NAS,XSMOM"
WF_GATE_HALF,2021-06-01 00:00:00+00:00,8,"RISKPAR,TSMOM,VOLMGD,EVE_XAU,D1REV_UK,XSMOM,D1REV_NAS,WED_BTC"
WF_GATE_HALF,2021-07-01 00:00:00+00:00,9,"RISKPAR,TSMOM,VOLMGD,EVE_XAU,XSMOM,WED_BTC,D1REV_NAS,D1REV_UK,WED_ETH"
WF_GATE_HALF,2021-08-01 00:00:00+00:00,9,"RISKPAR,VOLMGD,TSMOM,WED_BTC,EVE_XAU,XSMOM,D1REV_NAS,WED_SOL,WED_ETH"
WF_GATE_HALF,2021-09-01 00:00:00+00:00,8,"RISKPAR,TSMOM,VOLMGD,XSMOM,WED_BTC,WED_ETH,WED_SOL,D1REV_NAS"
WF_GATE_HALF,2021-10-01 00:00:00+00:00,7,"RISKPAR,TSMOM,VOLMGD,WED_ETH,WED_BTC,XSMOM,WED_SOL"
WF_GATE_HALF,2021-11-01 00:00:00+00:00,7,"RISKPAR,VOLMGD,TSMOM,WED_ETH,WED_BTC,XSMOM,WED_SOL"
WF_GATE_HALF,2021-12-01 00:00:00+00:00,7,"RISKPAR,TSMOM,WED_ETH,VOLMGD,WED_BTC,WED_SOL,XSMOM"
WF_GATE_HALF,2022-01-01 00:00:00+00:00,7,"RISKPAR,WED_SOL,VOLMGD,WED_ETH,TSMOM,WED_BTC,D1REV_NAS"
WF_GATE_HALF,2022-02-01 00:00:00+00:00,7,"WED_SOL,WED_ETH,RISKPAR,TSMOM,XSMOM,VOLMGD,WED_BTC"
WF_GATE_HALF,2022-03-01 00:00:00+00:00,6,"WED_SOL,XSMOM,WED_ETH,RISKPAR,D1REV_UK,TSMOM"
WF_GATE_HALF,2022-04-01 00:00:00+00:00,4,"WED_SOL,WED_ETH,RISKPAR,XSMOM"
WF_GATE_HALF,2022-05-01 00:00:00+00:00,4,"WED_SOL,WED_ETH,XSMOM,WED_BTC"
WF_GATE_HALF,2022-06-01 00:00:00+00:00,5,"WED_SOL,WED_ETH,WED_BTC,XSMOM,TSMOM"
WF_GATE_HALF,2022-07-01 00:00:00+00:00,4,"TSMOM,WED_SOL,XSMOM,WED_ETH"
WF_GATE_HALF,2022-08-01 00:00:00+00:00,6,"XSMOM,WED_ETH,TSMOM,WED_SOL,D1REV_UK,WED_BTC"
WF_GATE_HALF,2022-09-01 00:00:00+00:00,4,"XSMOM,WED_ETH,TSMOM,D1REV_UK"
WF_GATE_HALF,2022-10-01 00:00:00+00:00,4,"TSMOM,XSMOM,D1REV_UK,D1REV_NAS"
WF_GATE_HALF,2022-11-01 00:00:00+00:00,4,"XSMOM,D1REV_UK,D1REV_NAS,TSMOM"
WF_GATE_HALF,2022-12-01 00:00:00+00:00,4,"XSMOM,D1REV_NAS,D1REV_UK,TSMOM"
WF_GATE_HALF,2023-01-01 00:00:00+00:00,4,"D1REV_UK,XSMOM,D1REV_NAS,TSMOM"
WF_GATE_HALF,2023-02-01 00:00:00+00:00,5,"D1REV_UK,D1REV_NAS,TSMOM,D1REV_SPX,XSMOM"
WF_GATE_HALF,2023-03-01 00:00:00+00:00,4,"D1REV_NAS,D1REV_SPX,D1REV_UK,TSMOM"
WF_GATE_HALF,2023-04-01 00:00:00+00:00,4,"XSMOM,D1REV_NAS,D1REV_UK,D1REV_SPX"
WF_GATE_HALF,2023-05-01 00:00:00+00:00,3,"D1REV_NAS,D1REV_UK,XSMOM"
WF_GATE_HALF,2023-06-01 00:00:00+00:00,3,"D1REV_UK,D1REV_NAS,VOLMGD"
WF_GATE_HALF,2023-07-01 00:00:00+00:00,5,"D1REV_UK,VOLMGD,RISKPAR,D1REV_NAS,D1REV_SPX"
WF_GATE_HALF,2023-08-01 00:00:00+00:00,3,"VOLMGD,RISKPAR,D1REV_NAS"
WF_GATE_HALF,2023-09-01 00:00:00+00:00,5,"VOLMGD,RISKPAR,EVE_XAU,D1REV_NAS,D1REV_SPX"
WF_GATE_HALF,2023-10-01 00:00:00+00:00,5,"VOLMGD,RISKPAR,EVE_XAU,D1REV_NAS,D1REV_SPX"
WF_GATE_HALF,2023-11-01 00:00:00+00:00,5,"EVE_XAU,VOLMGD,RISKPAR,XSMOM,D1REV_NAS"
WF_GATE_HALF,2023-12-01 00:00:00+00:00,5,"EVE_XAU,VOLMGD,RISKPAR,XSMOM,TSMOM"
WF_GATE_HALF,2024-01-01 00:00:00+00:00,6,"EVE_XAU,VOLMGD,RISKPAR,TSMOM,WED_BTC,XSMOM"
WF_GATE_HALF,2024-02-01 00:00:00+00:00,6,"EVE_XAU,RISKPAR,VOLMGD,TSMOM,XSMOM,WED_SOL"
WF_GATE_HALF,2024-03-01 00:00:00+00:00,7,"EVE_XAU,RISKPAR,VOLMGD,TSMOM,XSMOM,WED_SOL,WED_BTC"
WF_GATE_HALF,2024-04-01 00:00:00+00:00,8,"EVE_XAU,RISKPAR,VOLMGD,TSMOM,WED_SOL,WED_BTC,XSMOM,WED_ETH"
WF_GATE_HALF,2024-05-01 00:00:00+00:00,8,"EVE_XAU,RISKPAR,VOLMGD,TSMOM,WED_SOL,WED_BTC,WED_ETH,XSMOM"
WF_GATE_HALF,2024-06-01 00:00:00+00:00,8,"EVE_XAU,RISKPAR,VOLMGD,TSMOM,WED_SOL,WED_BTC,XSMOM,WED_ETH"
WF_GATE_HALF,2024-07-01 00:00:00+00:00,8,"EVE_XAU,RISKPAR,VOLMGD,WED_SOL,TSMOM,WED_BTC,WED_ETH,XSMOM"
WF_GATE_HALF,2024-08-01 00:00:00+00:00,9,"EVE_XAU,RISKPAR,VOLMGD,TSMOM,WED_SOL,XSMOM,WED_BTC,WED_ETH,D1REV_NAS"
WF_GATE_HALF,2024-09-01 00:00:00+00:00,9,"RISKPAR,VOLMGD,EVE_XAU,WED_SOL,TSMOM,XSMOM,WED_BTC,WED_ETH,D1REV_NAS"
WF_GATE_HALF,2024-10-01 00:00:00+00:00,9,"RISKPAR,VOLMGD,EVE_XAU,TSMOM,WED_SOL,XSMOM,WED_BTC,WED_ETH,D1REV_NAS"
WF_GATE_HALF,2024-11-01 00:00:00+00:00,11,"RISKPAR,VOLMGD,EVE_XAU,WED_SOL,TSMOM,XSMOM,WED_BTC,D1REV_UK,D1REV_NAS,WED_ETH,D1REV_SPX"
WF_GATE_HALF,2024-12-01 00:00:00+00:00,8,"RISKPAR,VOLMGD,TSMOM,WED_SOL,XSMOM,EVE_XAU,WED_BTC,WED_ETH"
WF_GATE_HALF,2025-01-01 00:00:00+00:00,9,"RISKPAR,VOLMGD,XSMOM,WED_SOL,TSMOM,WED_BTC,EVE_XAU,WED_ETH,D1REV_UK"
WF_GATE_HALF,2025-02-01 00:00:00+00:00,8,"RISKPAR,VOLMGD,WED_SOL,XSMOM,WED_BTC,TSMOM,WED_ETH,D1REV_UK"
WF_GATE_HALF,2025-03-01 00:00:00+00:00,8,"XSMOM,VOLMGD,RISKPAR,WED_ETH,WED_SOL,EVE_XAU,WED_BTC,D1REV_UK"
WF_GATE_HALF,2025-04-01 00:00:00+00:00,4,"XSMOM,D1REV_UK,VOLMGD,RISKPAR"
WF_GATE_HALF,2025-05-01 00:00:00+00:00,8,"XSMOM,VOLMGD,RISKPAR,WED_BTC,WED_ETH,WED_SOL,D1REV_NAS,D1REV_UK"
WF_GATE_HALF,2025-06-01 00:00:00+00:00,8,"D1REV_UK,WED_BTC,VOLMGD,XSMOM,RISKPAR,D1REV_NAS,WED_ETH,D1REV_SPX"
WF_GATE_HALF,2025-07-01 00:00:00+00:00,9,"XSMOM,VOLMGD,RISKPAR,WED_BTC,D1REV_NAS,D1REV_UK,D1REV_SPX,WED_ETH,EVE_XAU"
WF_GATE_HALF,2025-08-01 00:00:00+00:00,8,"WED_BTC,VOLMGD,WED_ETH,RISKPAR,XSMOM,D1REV_UK,EVE_XAU,D1REV_NAS"
WF_GATE_HALF,2025-09-01 00:00:00+00:00,10,"WED_BTC,WED_ETH,VOLMGD,RISKPAR,XSMOM,D1REV_UK,WED_SOL,D1REV_NAS,EVE_XAU,D1REV_SPX"
WF_GATE_HALF,2025-10-01 00:00:00+00:00,11,"WED_BTC,WED_ETH,VOLMGD,RISKPAR,WED_SOL,XSMOM,EVE_XAU,TSMOM,D1REV_NAS,D1REV_UK,D1REV_SPX"
WF_GATE_HALF,2025-11-01 00:00:00+00:00,10,"WED_ETH,WED_BTC,VOLMGD,RISKPAR,WED_SOL,EVE_XAU,TSMOM,D1REV_NAS,XSMOM,D1REV_SPX"
WF_GATE_HALF,2025-12-01 00:00:00+00:00,10,"WED_ETH,EVE_XAU,WED_BTC,VOLMGD,D1REV_NAS,RISKPAR,WED_SOL,XSMOM,D1REV_SPX,TSMOM"
WF_GATE_HALF,2026-01-01 00:00:00+00:00,10,"WED_ETH,RISKPAR,VOLMGD,EVE_XAU,D1REV_NAS,WED_BTC,XSMOM,WED_SOL,D1REV_SPX,TSMOM"
WF_GATE_HALF,2026-02-01 00:00:00+00:00,10,"EVE_XAU,WED_ETH,RISKPAR,D1REV_NAS,VOLMGD,XSMOM,WED_BTC,D1REV_SPX,TSMOM,WED_SOL"
WF_GATE_HALF,2026-03-01 00:00:00+00:00,10,"RISKPAR,EVE_XAU,VOLMGD,D1REV_NAS,WED_ETH,WED_BTC,XSMOM,TSMOM,D1REV_SPX,WED_SOL"
WF_GATE_HALF,2026-04-01 00:00:00+00:00,10,"EVE_XAU,RISKPAR,WED_ETH,VOLMGD,D1REV_NAS,WED_BTC,XSMOM,WED_SOL,TSMOM,D1REV_SPX"
WF_GATE_HALF,2026-05-01 00:00:00+00:00,8,"EVE_XAU,RISKPAR,VOLMGD,XSMOM,WED_ETH,D1REV_NAS,WED_BTC,TSMOM"
WF_RECENT_BIAS,2021-01-01 00:00:00+00:00,5,"RISKPAR,TSMOM,VOLMGD,WED_BTC,XSMOM"
WF_RECENT_BIAS,2021-02-01 00:00:00+00:00,5,"RISKPAR,VOLMGD,TSMOM,WED_BTC,EVE_XAU"
WF_RECENT_BIAS,2021-03-01 00:00:00+00:00,5,"RISKPAR,TSMOM,VOLMGD,WED_BTC,WED_ETH"
WF_RECENT_BIAS,2021-04-01 00:00:00+00:00,5,"RISKPAR,TSMOM,VOLMGD,WED_BTC,EVE_XAU"
WF_RECENT_BIAS,2021-05-01 00:00:00+00:00,5,"RISKPAR,TSMOM,VOLMGD,EVE_XAU,WED_ETH"
WF_RECENT_BIAS,2021-06-01 00:00:00+00:00,5,"RISKPAR,VOLMGD,TSMOM,D1REV_NAS,XSMOM"
WF_RECENT_BIAS,2021-07-01 00:00:00+00:00,5,"RISKPAR,VOLMGD,TSMOM,D1REV_NAS,XSMOM"
WF_RECENT_BIAS,2021-08-01 00:00:00+00:00,5,"RISKPAR,VOLMGD,TSMOM,WED_SOL,WED_BTC"
WF_RECENT_BIAS,2021-09-01 00:00:00+00:00,5,"RISKPAR,WED_SOL,TSMOM,VOLMGD,WED_ETH"
WF_RECENT_BIAS,2021-10-01 00:00:00+00:00,5,"WED_ETH,WED_SOL,WED_BTC,RISKPAR,TSMOM"
WF_RECENT_BIAS,2021-11-01 00:00:00+00:00,5,"RISKPAR,TSMOM,WED_ETH,VOLMGD,WED_BTC"
WF_RECENT_BIAS,2021-12-01 00:00:00+00:00,5,"WED_ETH,WED_BTC,WED_SOL,TSMOM,XSMOM"
WF_RECENT_BIAS,2022-01-01 00:00:00+00:00,5,"WED_SOL,RISKPAR,VOLMGD,WED_ETH,TSMOM"
WF_RECENT_BIAS,2022-02-01 00:00:00+00:00,5,"WED_SOL,XSMOM,EVE_XAU,WED_ETH,TSMOM"
WF_RECENT_BIAS,2022-03-01 00:00:00+00:00,5,"XSMOM,D1REV_UK,WED_SOL,D1REV_NAS,WED_ETH"
WF_RECENT_BIAS,2022-04-01 00:00:00+00:00,5,"WED_SOL,WED_ETH,D1REV_UK,RISKPAR,XSMOM"
WF_RECENT_BIAS,2022-05-01 00:00:00+00:00,5,"WED_SOL,WED_ETH,D1REV_UK,TSMOM,WED_BTC"
WF_RECENT_BIAS,2022-06-01 00:00:00+00:00,5,"TSMOM,XSMOM,D1REV_NAS,WED_BTC,WED_ETH"
WF_RECENT_BIAS,2022-07-01 00:00:00+00:00,5,"TSMOM,XSMOM,D1REV_NAS,D1REV_UK,D1REV_SPX"
WF_RECENT_BIAS,2022-08-01 00:00:00+00:00,5,"XSMOM,TSMOM,D1REV_UK,D1REV_NAS,WED_ETH"
WF_RECENT_BIAS,2022-09-01 00:00:00+00:00,5,"XSMOM,TSMOM,WED_ETH,D1REV_UK,WED_BTC"
WF_RECENT_BIAS,2022-10-01 00:00:00+00:00,5,"D1REV_UK,WED_ETH,XSMOM,TSMOM,WED_BTC"
WF_RECENT_BIAS,2022-11-01 00:00:00+00:00,5,"XSMOM,D1REV_UK,WED_ETH,D1REV_NAS,TSMOM"
WF_RECENT_BIAS,2022-12-01 00:00:00+00:00,5,"D1REV_NAS,D1REV_UK,D1REV_SPX,XSMOM,TSMOM"
WF_RECENT_BIAS,2023-01-01 00:00:00+00:00,5,"D1REV_NAS,D1REV_UK,D1REV_SPX,XSMOM,VOLMGD"
WF_RECENT_BIAS,2023-02-01 00:00:00+00:00,5,"D1REV_NAS,VOLMGD,D1REV_SPX,D1REV_UK,RISKPAR"
WF_RECENT_BIAS,2023-03-01 00:00:00+00:00,5,"D1REV_NAS,WED_BTC,WED_ETH,D1REV_SPX,VOLMGD"
WF_RECENT_BIAS,2023-04-01 00:00:00+00:00,5,"VOLMGD,RISKPAR,XSMOM,D1REV_UK,D1REV_NAS"
WF_RECENT_BIAS,2023-05-01 00:00:00+00:00,5,"XSMOM,D1REV_UK,D1REV_NAS,VOLMGD,RISKPAR"
WF_RECENT_BIAS,2023-06-01 00:00:00+00:00,5,"D1REV_UK,VOLMGD,RISKPAR,XSMOM,D1REV_SPX"
WF_RECENT_BIAS,2023-07-01 00:00:00+00:00,5,"RISKPAR,VOLMGD,D1REV_UK,EVE_XAU,D1REV_NAS"
WF_RECENT_BIAS,2023-08-01 00:00:00+00:00,5,"VOLMGD,RISKPAR,EVE_XAU,TSMOM,D1REV_NAS"
WF_RECENT_BIAS,2023-09-01 00:00:00+00:00,5,"EVE_XAU,RISKPAR,VOLMGD,D1REV_NAS,XSMOM"
WF_RECENT_BIAS,2023-10-01 00:00:00+00:00,5,"EVE_XAU,XSMOM,D1REV_SPX,D1REV_NAS,VOLMGD"
WF_RECENT_BIAS,2023-11-01 00:00:00+00:00,5,"EVE_XAU,XSMOM,D1REV_NAS,RISKPAR,VOLMGD"
WF_RECENT_BIAS,2023-12-01 00:00:00+00:00,5,"EVE_XAU,VOLMGD,RISKPAR,TSMOM,WED_BTC"
WF_RECENT_BIAS,2024-01-01 00:00:00+00:00,5,"EVE_XAU,VOLMGD,RISKPAR,TSMOM,WED_BTC"
WF_RECENT_BIAS,2024-02-01 00:00:00+00:00,5,"EVE_XAU,VOLMGD,RISKPAR,TSMOM,WED_SOL"
WF_RECENT_BIAS,2024-03-01 00:00:00+00:00,5,"EVE_XAU,VOLMGD,RISKPAR,TSMOM,WED_BTC"
WF_RECENT_BIAS,2024-04-01 00:00:00+00:00,5,"RISKPAR,VOLMGD,TSMOM,EVE_XAU,WED_SOL"
WF_RECENT_BIAS,2024-05-01 00:00:00+00:00,5,"RISKPAR,TSMOM,EVE_XAU,VOLMGD,WED_SOL"
WF_RECENT_BIAS,2024-06-01 00:00:00+00:00,5,"EVE_XAU,RISKPAR,VOLMGD,WED_SOL,TSMOM"
WF_RECENT_BIAS,2024-07-01 00:00:00+00:00,5,"EVE_XAU,RISKPAR,WED_SOL,VOLMGD,TSMOM"
WF_RECENT_BIAS,2024-08-01 00:00:00+00:00,5,"RISKPAR,VOLMGD,XSMOM,EVE_XAU,WED_SOL"
WF_RECENT_BIAS,2024-09-01 00:00:00+00:00,5,"RISKPAR,VOLMGD,XSMOM,D1REV_NAS,D1REV_SPX"
WF_RECENT_BIAS,2024-10-01 00:00:00+00:00,5,"XSMOM,VOLMGD,RISKPAR,D1REV_NAS,TSMOM"
WF_RECENT_BIAS,2024-11-01 00:00:00+00:00,5,"VOLMGD,RISKPAR,XSMOM,D1REV_UK,D1REV_NAS"
WF_RECENT_BIAS,2024-12-01 00:00:00+00:00,5,"RISKPAR,VOLMGD,D1REV_UK,WED_BTC,WED_SOL"
WF_RECENT_BIAS,2025-01-01 00:00:00+00:00,5,"VOLMGD,RISKPAR,D1REV_UK,WED_BTC,WED_ETH"
WF_RECENT_BIAS,2025-02-01 00:00:00+00:00,5,"VOLMGD,RISKPAR,WED_BTC,WED_SOL,WED_ETH"
WF_RECENT_BIAS,2025-03-01 00:00:00+00:00,5,"EVE_XAU,XSMOM,WED_ETH,VOLMGD,RISKPAR"
WF_RECENT_BIAS,2025-04-01 00:00:00+00:00,5,"D1REV_SPX,XSMOM,D1REV_NAS,WED_ETH,WED_BTC"
WF_RECENT_BIAS,2025-05-01 00:00:00+00:00,5,"WED_BTC,D1REV_NAS,XSMOM,WED_ETH,D1REV_SPX"
WF_RECENT_BIAS,2025-06-01 00:00:00+00:00,5,"WED_BTC,D1REV_NAS,WED_ETH,D1REV_SPX,VOLMGD"
WF_RECENT_BIAS,2025-07-01 00:00:00+00:00,5,"RISKPAR,VOLMGD,D1REV_NAS,WED_BTC,XSMOM"
WF_RECENT_BIAS,2025-08-01 00:00:00+00:00,5,"VOLMGD,RISKPAR,WED_ETH,WED_BTC,D1REV_UK"
WF_RECENT_BIAS,2025-09-01 00:00:00+00:00,5,"XSMOM,VOLMGD,WED_ETH,WED_BTC,RISKPAR"
WF_RECENT_BIAS,2025-10-01 00:00:00+00:00,5,"WED_ETH,WED_BTC,VOLMGD,RISKPAR,XSMOM"
WF_RECENT_BIAS,2025-11-01 00:00:00+00:00,5,"RISKPAR,VOLMGD,WED_SOL,WED_ETH,WED_BTC"
WF_RECENT_BIAS,2025-12-01 00:00:00+00:00,5,"EVE_XAU,WED_ETH,D1REV_NAS,RISKPAR,WED_BTC"
WF_RECENT_BIAS,2026-01-01 00:00:00+00:00,5,"EVE_XAU,D1REV_NAS,RISKPAR,VOLMGD,WED_ETH"
WF_RECENT_BIAS,2026-02-01 00:00:00+00:00,5,"EVE_XAU,XSMOM,RISKPAR,VOLMGD,D1REV_NAS"
WF_RECENT_BIAS,2026-03-01 00:00:00+00:00,5,"EVE_XAU,VOLMGD,TSMOM,RISKPAR,XSMOM"
WF_RECENT_BIAS,2026-04-01 00:00:00+00:00,5,"EVE_XAU,D1REV_NAS,WED_ETH,XSMOM,TSMOM"
WF_RECENT_BIAS,2026-05-01 00:00:00+00:00,5,"EVE_XAU,WED_ETH,XSMOM,D1REV_NAS,VOLMGD"
